13.02	255 	255 	241 
13.02	255 	255 	241 
13.02	255 	255 	240 
13.02	255 	255 	239 
13.01	255 	255 	238 
13.01	255 	255 	237 
13	255 	255 	236 
13	255 	255 	235 
13	255 	255 	234 
12.99	255 	255 	233 
12.99	255 	255 	233 
12.98	253 	255 	232 
12.98	252 	255 	231 
12.98	251 	255 	230 
12.97	250 	255 	229 
12.97	249 	255 	229 
12.96	248 	254 	228 
12.96	247 	253 	227 
12.96	246 	252 	226 
12.95	245 	250 	225 
12.95	244 	249 	224 
12.95	243 	248 	223 
12.94	241 	247 	222 
12.94	240 	246 	222 
12.93	239 	245 	221 
12.93	238 	244 	220 
12.93	237 	242 	219 
12.92	236 	241 	218 
12.92	235 	240 	217 
12.91	234 	239 	216 
12.91	233 	238 	215 
12.91	232 	237 	214 
12.9	231 	236 	213 
12.9	230 	235 	212 
12.9	229 	234 	211 
12.89	228 	233 	210 
12.89	227 	232 	209 
12.88	226 	231 	208 
12.88	225 	230 	207 
12.88	223 	229 	206 
12.87	222 	228 	205 
12.87	222 	226 	205 
12.86	221 	225 	204 
12.86	220 	224 	203 
12.86	218 	223 	202 
12.85	218 	221 	201 
12.85	217 	220 	200 
12.84	214 	219 	199 
12.84	213 	218 	198 
12.84	212 	217 	198 
12.83	211 	216 	197 
12.83	210 	215 	196 
12.83	209 	213 	195 
12.82	208 	212 	194 
12.82	207 	211 	193 
12.81	207 	209 	192 
12.81	205 	208 	191 
12.81	204 	207 	190 
12.8	204 	206 	190 
12.8	201 	205 	189 
12.79	200 	204 	188 
12.79	199 	203 	187 
12.79	198 	202 	186 
12.78	197 	201 	185 
12.78	196 	200 	184 
12.78	195 	199 	183 
12.77	194 	198 	182 
12.77	193 	197 	181 
12.76	192 	196 	180 
12.76	191 	195 	179 
12.76	190 	194 	178 
12.75	189 	193 	177 
12.75	188 	191 	176 
12.74	187 	190 	175 
12.74	186 	189 	174 
12.74	185 	188 	173 
12.73	184 	187 	173 
12.73	183 	186 	172 
12.73	182 	185 	171 
12.72	181 	183 	170 
12.72	180 	182 	169 
12.71	179 	181 	168 
12.71	177 	180 	167 
12.71	176 	179 	167 
12.7	175 	178 	166 
12.7	174 	176 	165 
12.69	173 	175 	164 
12.69	172 	174 	163 
12.69	171 	173 	162 
12.68	170 	172 	161 
12.68	169 	171 	160 
12.67	168 	170 	159 
12.67	167 	169 	158 
12.67	166 	168 	157 
