255 	255 	247 
255 	255 	247 
255 	255 	246 
255 	255 	245 
255 	255 	244 
255 	255 	243 
254 	255 	242 
253 	255 	241 
252 	254 	240 
251 	253 	239 
250 	252 	238 
249 	251 	237 
248 	250 	236 
247 	249 	235 
246 	247 	235 
245 	246 	234 
244 	245 	233 
243 	244 	232 
240 	242 	232 
239 	241 	231 
238 	240 	230 
237 	239 	229 
236 	238 	228 
235 	237 	227 
234 	236 	226 
233 	235 	225 
232 	234 	224 
231 	233 	223 
230 	232 	222 
229 	231 	221 
228 	230 	221 
227 	229 	220 
226 	228 	219 
225 	226 	218 
224 	225 	217 
223 	224 	216 
222 	223 	215 
221 	221 	215 
220 	220 	214 
219 	219 	213 
218 	218 	212 
215 	217 	211 
214 	216 	210 
213 	214 	210 
212 	213 	209 
211 	212 	208 
210 	211 	207 
209 	210 	206 
208 	209 	205 
207 	207 	204 
206 	206 	203 
205 	205 	202 
204 	204 	201 
203 	204 	200 
202 	203 	199 
201 	202 	198 
200 	201 	197 
199 	200 	196 
198 	199 	195 
197 	197 	194 
196 	196 	194 
195 	195 	193 
194 	194 	192 
193 	193 	191 
193 	191 	190 
192 	190 	189 
191 	189 	188 
187 	189 	187 
186 	188 	186 
186 	186 	186 
185 	185 	185 
184 	184 	184 
183 	183 	183 
182 	182 	182 
181 	181 	181 
180 	180 	180 
179 	179 	179 
178 	178 	178 
177 	177 	177 
176 	176 	176 
175 	175 	175 
174 	174 	174 
173 	173 	173 
172 	171 	172 
171 	170 	171 
170 	169 	170 
169 	168 	169 
168 	167 	168 
165 	166 	168 
164 	165 	167 
165 	163 	166 
162 	163 	165 
163 	161 	164 
163 	160 	163 
162 	159 	162 
159 	158 	162 
159 	157 	160 
158 	156 	159 
157 	155 	158 
155 	154 	158 
154 	153 	157 
153 	152 	156 
152 	151 	155 
151 	150 	154 
150 	149 	153 
149 	148 	151 
148 	147 	150 
147 	146 	150 
146 	145 	149 
145 	144 	148 
144 	143 	147 
143 	142 	146 
142 	141 	145 
141 	139 	144 
140 	138 	143 
139 	137 	142 
138 	136 	141 
137 	135 	140 
136 	134 	139 
136 	133 	138 
135 	132 	137 
134 	131 	136 
133 	130 	135 
132 	129 	134 
131 	128 	133 
130 	127 	132 
129 	126 	131 
128 	125 	130 
127 	124 	129 
126 	122 	129 
125 	121 	128 
124 	121 	127 
123 	120 	126 
122 	119 	124 
121 	118 	123 
119 	116 	123 
118 	115 	122 
117 	114 	121 
116 	113 	120 
116 	112 	119 
115 	111 	118 
114 	110 	117 
113 	109 	116 
112 	108 	115 
111 	107 	114 
110 	106 	113 
109 	105 	112 
108 	105 	110 
107 	104 	109 
106 	103 	108 
105 	102 	107 
104 	100 	107 
103 	99 	106 
102 	98 	105 
101 	97 	104 
100 	96 	103 
99 	95 	102 
98 	94 	101 
97 	93 	100 
96 	92 	99 
95 	92 	97 
94 	90 	97 
93 	90 	95 
92 	89 	94 
92 	88 	93 
91 	87 	92 
90 	86 	91 
88 	85 	90 
87 	84 	89 
86 	83 	88 
85 	82 	87 
84 	81 	86 
83 	80 	85 
82 	79 	84 
81 	78 	83 
80 	77 	82 
79 	76 	81 
78 	75 	80 
78 	74 	79 
77 	73 	78 
76 	72 	77 
75 	71 	76 
74 	71 	74 
74 	70 	73 
72 	69 	72 
71 	68 	71 
70 	67 	70 
69 	66 	69 
68 	65 	68 
67 	64 	67 
66 	63 	66 
65 	62 	65 
64 	61 	64 
63 	60 	63 
62 	59 	62 
61 	58 	61 
60 	57 	60 
59 	56 	59 
58 	55 	58 
57 	54 	57 
56 	53 	56 
55 	52 	55 
54 	51 	54 
53 	50 	53 
52 	49 	52 
51 	48 	51 
50 	47 	50 
49 	46 	49 
48 	45 	48 
46 	44 	47 
45 	43 	46 
44 	42 	45 
43 	42 	44 
42 	41 	43 
42 	40 	42 
41 	39 	41 
40 	38 	39 
39 	37 	39 
38 	36 	37 
36 	35 	37 
35 	34 	36 
34 	33 	35 
33 	32 	34 
32 	31 	33 
31 	30 	32 
30 	29 	31 
29 	28 	30 
28 	27 	28 
27 	26 	27 
26 	25 	26 
25 	25 	25 
24 	24 	24 
23 	23 	23 
22 	22 	22 
21 	21 	21 
20 	20 	20 
19 	19 	19 
18 	18 	18 
17 	17 	17 
16 	16 	16 
15 	15 	15 
14 	14 	14 
13 	13 	13 
12 	12 	12 
11 	11 	11 
10 	10 	10 
9 	9 	9 
8 	8 	8 
7 	7 	7 
6 	6 	6 
5 	5 	5 
4 	4 	4 
3 	3 	3 
2 	2 	2 
1 	1 	1 
0 	0 	0 
